prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size_sqft,furnished,facilities,additional_facilities,region
The Park Sky Residence @ Bukit Jalil City,2019,2600,Kuala Lumpur - Bukit Jalil,Service Residence,2,0,2,868,Partially Furnished,"Parking, Playground, Swimming Pool, Security, Multipurpose hall, Gymnasium, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
PV9 Residences @ Taman Melati,2022,2000,Kuala Lumpur - Setapak,Service Residence,4,2,2,1100,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Arte Plus Jalan Ampang,2018,1500,Kuala Lumpur - Ampang,Service Residence,1,1,1,700,Fully Furnished,"Gymnasium, Jogging Track, Playground, Parking, Security, Lift, Swimming Pool, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
Maxim Citilights,2017,1300,Kuala Lumpur - Sentul,Service Residence,3,1,2,1009,Fully Furnished,"Minimart, Jogging Track, Playground, Swimming Pool, Multipurpose hall, Security, Lift, Parking, Gymnasium, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Greenview Apartments,2017,1000,Kuala Lumpur - Kepong,Apartment,5,0,2,855,Partially Furnished,"Security, Parking, Lift","Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
Legasi Kampong Bharu,2020,3200,Kuala Lumpur - KL City,Apartment,3,1,2,950,Fully Furnished,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Legasi Kampong Bharu,2020,3200,Kuala Lumpur - KL City,Apartment,3,1,2,950,Fully Furnished,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Majestic Maxim,2021,1400,Kuala Lumpur - Cheras,Service Residence,2,2,2,650,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur
Desa Villas,2017,2500,Kuala Lumpur - Wangsa Maju,Condominium,4,2,2,1784,Not Furnished,"Parking, Security, Lift, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur
East Side One Ampang Avenue,2017,1800,Kuala Lumpur - Ampang,Condominium,3,1,2,1100,Fully Furnished,"Gymnasium, Minimart, Tennis Court, Squash Court, Sauna, Security, Swimming Pool, Parking",None,Kuala Lumpur
Majestic Maxim,2021,1099,Kuala Lumpur - Cheras,Service Residence,2,1,2,650,Not Furnished,"Playground, Lift, Barbeque area, Security, Parking, Jogging Track, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Majestic Maxim,2021,1099,Kuala Lumpur - Cheras,Service Residence,2,1,2,650,Partially Furnished,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Majestic Maxim,2021,1199,Kuala Lumpur - Cheras,Service Residence,3,1,2,819,Not Furnished,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Majestic Maxim,2021,1100,Kuala Lumpur - Cheras,Service Residence,2,1,2,650,Not Furnished,"Jogging Track, Parking, Security, Playground, Barbeque area, Gymnasium, Lift, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur
Sri Penara,2017,1000,Kuala Lumpur - Cheras,Apartment,3,0,2,650,Not Furnished,"Parking, Minimart, Playground",None,Kuala Lumpur
Prisma Cheras,2017,1100,Kuala Lumpur - Cheras,Condominium,1,1,1,900,Partially Furnished,"Swimming Pool, Barbeque area, Sauna, Security, Gymnasium, Tennis Court, Squash Court, Parking, Playground",None,Kuala Lumpur
Menara Alpha,2017,1400,Kuala Lumpur - Wangsa Maju,Condominium,3,1,2,1140,Not Furnished,"Parking, Minimart, Security, Gymnasium, Swimming Pool, Playground",None,Kuala Lumpur
Berlian Residence @ Setapak,2017,1500,Kuala Lumpur - Setapak,Condominium,3,1,2,900,Not Furnished,"Parking, Security, Lift, Swimming Pool, Multipurpose hall",None,Kuala Lumpur
28 Dutamas,2017,2500,Kuala Lumpur - Solaris Dutamas,Condominium,4,2,3,1500,Partially Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur
