prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size_sqft,furnished,facilities,additional_facilities,region
Taman yulek shoplot,2017,2500,Kuala Lumpur - Cheras,Landed House,1,0,1,1000,Not Furnished,None,None,Kuala Lumpur
Rafflesia Sentul Condominium,2017,2000,Kuala Lumpur - Sentul,Condominium,3,0,2,1011,Fully Furnished,"Parking, Security, Minimart, Playground, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Pangsapuri Mawar (Sentul),2017,1200,Kuala Lumpur - Sentul,Condominium,3,1,2,870,Not Furnished,"Parking, Minimart, Security, Lift, Playground","Near KTM/LRT, Cooking Allowed",Kuala Lumpur
Brem Park 2,1980,1300,Kuala Lumpur - Pantai,Condominium,2,1,3,1100,Fully Furnished,"Sauna, Squash Court, Parking, Playground, Swimming Pool, Barbeque area, Security, Minimart, Tennis Court",None,Kuala Lumpur
Residensi Pandanmas 2,2017,1250,Kuala Lumpur - Desa Pandan,Apartment,3,1,2,900,Not Furnished,"Parking, Security, Minimart, Playground, Gymnasium, Jogging Track, Swimming Pool","Cooking Allowed, Internet",Kuala Lumpur
Aliran Damai Apartments,2017,1200,Kuala Lumpur - Cheras,Apartment,3,1,2,1006,Partially Furnished,None,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Residensi Alam Damai (PR1MA @ Alam Damai),2017,1300,Kuala Lumpur - Cheras,Apartment,3,0,2,996,Partially Furnished,"Parking, Lift, Minimart, Jogging Track",Cooking Allowed,Kuala Lumpur
Kenari Court,2017,1000,Kuala Lumpur - Ampang,Apartment,3,1,2,861,Not Furnished,"Parking, Security, Playground","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
M Centura,2021,1400,Kuala Lumpur - Sentul,Service Residence,3,0,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
The Holmes,2017,2000,Kuala Lumpur - Cheras,Condominium,3,2,2,1018,Partially Furnished,None,None,Kuala Lumpur
Continew Condominium,2020,2200,Kuala Lumpur - KL City,Condominium,1,0,1,300,Fully Furnished,"Parking, Minimart, Swimming Pool, Security, Lift, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Amaya Maluri,2013,1750,Kuala Lumpur - Cheras,Service Residence,2,1,2,719,Fully Furnished,"Playground, Gymnasium, Parking, Security, Multipurpose hall, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Holmes 2,2021,2000,Kuala Lumpur - Cheras,Condominium,3,2,2,1000,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Barbeque area, Sauna, Multipurpose hall, Parking, Security, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
M Suites,2013,3500,Kuala Lumpur - Ampang Hilir,Service Residence,3,1,2,1529,Fully Furnished,"Barbeque area, Gymnasium, Swimming Pool, Sauna, Parking, Security, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Menara Megah,2017,1500,Kuala Lumpur - Jalan Ipoh,Condominium,3,0,2,1068,Partially Furnished,"Parking, Playground, Swimming Pool, Security, Lift, Sauna, Barbeque area, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Havre @ Bukit Jalil,2020,2200,Kuala Lumpur - Bukit Jalil,Condominium,3,2,3,1100,Fully Furnished,"Barbeque area, Sauna, Parking, Security, Playground, Tennis Court, Squash Court, Lift, Club house, Gymnasium, Jogging Track, Multipurpose hall, Minimart, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Changkat View Condominium,2009,1650,Kuala Lumpur - Solaris Dutamas,Condominium,3,1,2,1100,Fully Furnished,None,None,Kuala Lumpur
The Ooak (Kiara 163),2022,1250,Kuala Lumpur - Mont Kiara,Service Residence,1,0,1,1000,Fully Furnished,"Security, Jogging Track, Minimart, Gymnasium, Barbeque area, Playground, Swimming Pool, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
Trinity Aquata,2019,2000,Kuala Lumpur - Sungai Besi,Condominium,3,1,2,839,Fully Furnished,"Parking, Security, Swimming Pool, Gymnasium, Jogging Track",None,Kuala Lumpur
Vivo Residential @ 9 Seputeh,2018,1600,Kuala Lumpur - Seputeh,Service Residence,1,0,1,550,Fully Furnished,"Security, Gymnasium, Swimming Pool, Jogging Track, Lift","Air-Cond, Washing Machine, Cooking Allowed",Kuala Lumpur
Aster Green Residence,2022,2300,Kuala Lumpur - Sri Petaling,Service Residence,3,1,2,861,Fully Furnished,"Parking, Security, Barbeque area, Multipurpose hall, Playground, Swimming Pool, Lift, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Desa Villa,2017,1450,Kuala Lumpur - Taman Desa,Condominium,3,1,2,1150,Partially Furnished,"Playground, Barbeque area, Sauna, Security, Gymnasium, Tennis Court, Squash Court, Parking, Minimart, Swimming Pool",None,Kuala Lumpur
Ketumbar Heights,2010,1250,Kuala Lumpur - Cheras,Condominium,3,1,2,755,Partially Furnished,None,None,Kuala Lumpur
The Leafz,2017,1750,Kuala Lumpur - Sungai Besi,Service Residence,1,2,1,811,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
"SkyAwani 3 Residence, Setapak",2021,1500,Kuala Lumpur - Setapak,Condominium,3,1,2,800,Partially Furnished,"Parking, Swimming Pool, Lift, Sauna, Minimart, Tennis Court, Squash Court, Barbeque area, Security, Playground, Jogging Track, Gymnasium",None,Kuala Lumpur
Aster Green Residence,2022,1198,Kuala Lumpur - Sri Petaling,Service Residence,1,2,1,667,Partially Furnished,"Parking, Security, Barbeque area, Multipurpose hall, Playground, Swimming Pool, Lift, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Minimart, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Vista OUG @ Platinum OUG Residence,2017,1800,Kuala Lumpur - Old Klang Road,Condominium,3,1,2,1200,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Majestic Maxim,2021,1300,Kuala Lumpur - Cheras,Service Residence,2,1,2,650,Partially Furnished,"Swimming Pool, Jogging Track, Parking, Security, Barbeque area, Playground, Gymnasium, Lift",None,Kuala Lumpur
The Hermington,2021,1788,Kuala Lumpur - Kuchai Lama,Condominium,3,2,2,1100,Partially Furnished,"Gymnasium, Multipurpose hall, Security, Playground, Swimming Pool, Parking, Sauna, Jogging Track, Lift, Barbeque area, Minimart, Squash Court, Tennis Court, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Viva Residency,2009,1800,Kuala Lumpur - Jalan Ipoh,Condominium,2,1,2,840,Fully Furnished,"Swimming Pool, Squash Court, Barbeque area, Club house, Tennis Court, Security, Gymnasium, Parking, Lift, Playground, Minimart, Sauna, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
Perdana Villa (Pandan Perdana),2017,1200,Kuala Lumpur - Cheras,Apartment,3,1,2,860,Partially Furnished,"Parking, Security, Playground, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
Enesta,2021,1600,Kuala Lumpur - Kepong,Service Residence,3,1,2,916,Not Furnished,"Parking, Lift, Security, Playground, Swimming Pool, Barbeque area, Minimart, Sauna, Multipurpose hall, Gymnasium, Jogging Track, Club house, Squash Court, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
D'Alamanda,2014,1400,Kuala Lumpur - Cheras,Service Residence,2,1,1,695,Partially Furnished,"Squash Court, Barbeque area, Swimming Pool, Parking, Sauna, Playground, Gymnasium, Security, Minimart, Lift, Multipurpose hall, Jogging Track, Club house, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Residensi Desa Satumas,2017,1500,Kuala Lumpur - Taman Desa,Condominium,3,1,2,850,Partially Furnished,"Playground, Multipurpose hall, Parking, Security",None,Kuala Lumpur
M Centura,2021,1500,Kuala Lumpur - Sentul,Service Residence,2,0,2,646,Not Furnished,None,None,Kuala Lumpur
Ativo Suites @ Damansara Avenue,2021,2000,Kuala Lumpur - Sri Damansara,Service Residence,1,1,1,499,Fully Furnished,"Playground, Tennis Court, Squash Court, Minimart, Swimming Pool, Gymnasium, Sauna, Club house, Parking, Lift, Security, Jogging Track, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Ativo Suites @ Damansara Avenue,2021,1700,Kuala Lumpur - Sri Damansara,Service Residence,1,1,1,499,Partially Furnished,"Playground, Tennis Court, Squash Court, Minimart, Swimming Pool, Gymnasium, Sauna, Club house, Parking, Lift, Security, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
The Hamstead,2017,1350,Kuala Lumpur - Cheras,Condominium,3,2,2,1003,Partially Furnished,"Parking, Security, Swimming Pool, Lift, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Residensi Platinum Teratai,2017,2400,Kuala Lumpur - Setapak,Service Residence,3,0,2,928,Fully Furnished,"Lift, Parking, Security, Playground, Minimart",None,Kuala Lumpur
OUG Parklane,2017,1200,Kuala Lumpur - OUG,Service Residence,3,1,2,950,Partially Furnished,"Security, Jogging Track, Parking, Playground, Swimming Pool, Lift, Multipurpose hall, Minimart, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
The Hamstead,2017,1988,Kuala Lumpur - Cheras,Condominium,3,2,2,1003,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Club house, Jogging Track, Gymnasium, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
The Birch,2023,1600,Kuala Lumpur - Jalan Ipoh,Service Residence,2,0,4,652,Not Furnished,"Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall, Playground, Security, Jogging Track",None,Kuala Lumpur
Nusa Mewah,2017,1200,Kuala Lumpur - Ampang,Condominium,3,1,2,865,Not Furnished,None,None,Kuala Lumpur
The Haute,2019,2200,Kuala Lumpur - Keramat,Condominium,3,0,2,1003,Fully Furnished,"Gymnasium, Parking, Swimming Pool, Multipurpose hall, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Windsor Tower,2007,1600,Kuala Lumpur - Sri Hartamas,Service Residence,1,0,1,500,Fully Furnished,"Club house, Swimming Pool, Jogging Track, Barbeque area, Playground, Parking, Security, Gymnasium, Squash Court, Sauna",None,Kuala Lumpur
The Mark,2015,1350,Kuala Lumpur - Cheras,Service Residence,1,2,1,618,Fully Furnished,"Barbeque area, Sauna, Club house, Parking, Gymnasium, Multipurpose hall, Playground, Jogging Track, Security",None,Kuala Lumpur
Pearl Suria,2016,1700,Kuala Lumpur - Old Klang Road,Condominium,2,1,2,900,Fully Furnished,"Barbeque area, Jogging Track, Playground, Multipurpose hall, Gymnasium, Swimming Pool, Sauna, Security, Parking, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
RESIDENSI INSPIRASI MONT KIARA,2017,3500,Kuala Lumpur - Mont Kiara,Condominium,3,2,2,1015,Fully Furnished,None,None,Kuala Lumpur
Windsor Tower,2007,1500,Kuala Lumpur - Sri Hartamas,Service Residence,1,1,1,500,Fully Furnished,"Squash Court, Barbeque area, Sauna, Security, Playground, Jogging Track, Parking, Club house, Gymnasium, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Majestic Maxim,2021,1500,Kuala Lumpur - Cheras,Service Residence,2,1,2,650,Partially Furnished,"Parking, Playground, Barbeque area, Swimming Pool, Jogging Track, Lift, Security, Gymnasium",None,Kuala Lumpur
Sky awani residensi 3 setapak,2017,1600,Kuala Lumpur - Setapak,Condominium,3,1,2,800,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall, Jogging Track","Cooking Allowed, Washing Machine",Kuala Lumpur
Mont Kiara Pines,1993,2700,Kuala Lumpur - Mont Kiara,Condominium,3,1,2,1300,Fully Furnished,None,None,Kuala Lumpur
OUG Parklane,2017,1200,Kuala Lumpur - OUG,Condominium,3,1,2,950,Partially Furnished,"Swimming Pool, Playground, Sauna, Squash Court, Minimart, Parking, Security",None,Kuala Lumpur
Nidoz Residences,2019,3500,Kuala Lumpur - Desa Petaling,Condominium,4,3,3,1400,Fully Furnished,"Security, Jogging Track, Parking, Playground, Swimming Pool, Gymnasium, Multipurpose hall, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
6 CapSquare,2013,3500,Kuala Lumpur - Ampang,Condominium,3,2,3,1637,Fully Furnished,"Security, Playground, Swimming Pool, Sauna, Squash Court, Barbeque area, Gymnasium",None,Kuala Lumpur
Prisma Cheras,2017,1800,Kuala Lumpur - Cheras,Condominium,2,2,2,1072,Fully Furnished,"Swimming Pool, Gymnasium, Playground, Barbeque area, Sauna, Parking, Tennis Court, Squash Court, Security, Lift, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Platinum Lake PV 21,2017,1800,Kuala Lumpur - Setapak,Service Residence,2,2,1,900,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
Maxim Residences,2017,1400,Kuala Lumpur - Cheras,Service Residence,3,2,2,1050,Partially Furnished,"Security, Parking, Swimming Pool, Lift, Playground, Minimart","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Menara Alpha,2017,1500,Kuala Lumpur - Wangsa Maju,Condominium,3,1,2,900,Partially Furnished,"Parking, Security, Playground, Gymnasium, Minimart, Swimming Pool, Lift, Jogging Track, Barbeque area","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Ativo Suites @ Damansara Avenue,2021,2100,Kuala Lumpur - Sri Damansara,Service Residence,1,2,1,761,Partially Furnished,"Lift, Security, Playground, Swimming Pool, Gymnasium, Tennis Court, Squash Court, Club house, Parking, Minimart, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
28 Mont Kiara,2012,13000,Kuala Lumpur - Mont Kiara,Condominium,4,3,4,3000,Fully Furnished,"Parking, Gymnasium, Playground, Swimming Pool, Sauna, Security, Barbeque area, Minimart, Lift, Multipurpose hall, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
The Hamstead,2017,1900,Kuala Lumpur - Cheras,Condominium,3,2,2,1000,Partially Furnished,None,None,Kuala Lumpur
Arte Mont Kiara,2017,1700,Kuala Lumpur - Mont Kiara,Service Residence,1,1,1,500,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Villa Wangsamas,2010,1600,Kuala Lumpur - Wangsa Maju,Condominium,3,1,2,1267,Fully Furnished,"Parking, Security, Minimart, Swimming Pool, Gymnasium, Playground, Squash Court, Jogging Track",None,Kuala Lumpur
Marc Residence,2007,10000,Kuala Lumpur - KLCC,Condominium,4,2,4,3075,Fully Furnished,"Security, Sauna, Gymnasium, Parking, Swimming Pool, Lift, Playground, Barbeque area, Minimart, Multipurpose hall, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
"Seksyen 2, Wangsa Maju",2017,900,Kuala Lumpur - Wangsa Maju,Flat,2,1,1,628,Not Furnished,"Parking, Minimart","Near KTM/LRT, Cooking Allowed",Kuala Lumpur
Linq Sky @ Klcc,2022,2500,Kuala Lumpur - Keramat,Service Residence,1,2,1,736,Fully Furnished,"Parking, Security, Lift, Gymnasium, Playground, Swimming Pool, Jogging Track, Barbeque area",None,Kuala Lumpur
Casa Kiara 2 Jalan Kiara 5 Mont Kiara,2017,3000,Kuala Lumpur - Mont Kiara,Condominium,3,0,2,1432,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house, Jogging Track, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed",Kuala Lumpur
Lavile,2021,3800,Kuala Lumpur - Cheras,Service Residence,3,1,2,1000,Fully Furnished,"Gymnasium, Multipurpose hall, Swimming Pool, Security, Barbeque area, Parking",None,Kuala Lumpur
Lavile,2021,3800,Kuala Lumpur - Cheras,Service Residence,3,1,2,1000,Fully Furnished,"Gymnasium, Multipurpose hall, Swimming Pool, Security, Barbeque area, Parking",None,Kuala Lumpur
Putra Villa,2007,1800,Kuala Lumpur - Setapak,Condominium,3,1,2,1076,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Damansara Foresta,2016,2800,Kuala Lumpur - Sri Damansara,Condominium,3,2,3,1610,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Barbeque area, Parking, Security, Sauna, Minimart, Club house",None,Kuala Lumpur
Axis Residence,2010,1600,Kuala Lumpur - Ampang,Service Residence,2,0,2,800,Fully Furnished,"Parking, Gymnasium, Security, Swimming Pool",None,Kuala Lumpur
Teratai Mewah Apartment,2017,900,Kuala Lumpur - Setapak,Apartment,3,0,1,715,Not Furnished,"Playground, Parking, Security, Lift",None,Kuala Lumpur
FLAT PANDAN INDAH,2017,800,Kuala Lumpur - Pandan Indah,Flat,3,0,1,588,Not Furnished,None,Near KTM/LRT,Kuala Lumpur
Bukit Awansari (OG Court),1997,1700,Kuala Lumpur - Old Klang Road,Condominium,3,0,2,1190,Partially Furnished,"Parking, Playground, Gymnasium, Security, Swimming Pool, Minimart, Squash Court, Lift, Sauna","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur
Flat Taman Maluri,2017,900,Kuala Lumpur - Pandan Jaya,Flat,2,0,1,700,Partially Furnished,None,"Near KTM/LRT, Cooking Allowed",Kuala Lumpur
G Residence @ Desa Pandan,2015,3999,Kuala Lumpur - Desa Pandan,Service Residence,3,2,2,1539,Fully Furnished,"Multipurpose hall, Security, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Putra Suria Residence,2017,1250,Kuala Lumpur - Cheras,Condominium,3,1,2,748,Partially Furnished,"Parking, Jogging Track, Security, Gymnasium, Minimart","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Kaleidoscope,2017,2700,Kuala Lumpur - Setiawangsa,Condominium,3,2,2,1115,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track, Tennis Court",None,Kuala Lumpur
Eco Sky,2018,1600,Kuala Lumpur - Jalan Ipoh,Service Residence,2,1,2,900,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Residensi Wangsamas,2017,1400,Kuala Lumpur - Wangsa Maju,Apartment,3,2,2,800,Not Furnished,"Multipurpose hall, Lift, Security, Minimart, Jogging Track, Parking","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
"SkyAwani 3 Residence, Setapak",2021,1450,Kuala Lumpur - Setapak,Condominium,3,1,2,850,Partially Furnished,"Jogging Track, Lift, Minimart, Playground, Tennis Court, Parking, Squash Court, Sauna, Security, Gymnasium, Swimming Pool, Barbeque area",None,Kuala Lumpur
Kiara Residence,2014,2300,Kuala Lumpur - Bukit Jalil,Condominium,4,2,3,1280,Fully Furnished,"Swimming Pool, Playground, Lift, Security, Parking, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Parkview Service Apartment,2006,2000,Kuala Lumpur - KLCC,Condominium,1,0,1,580,Fully Furnished,"Parking, Security, Minimart, Tennis Court, Gymnasium, Jogging Track, Playground, Swimming Pool, Squash Court","Air-Cond, Cooking Allowed",Kuala Lumpur
Desa Putra (Wangsa Maju),2007,400,Kuala Lumpur - Wangsa Maju,Condominium,4,0,2,1246,Fully Furnished,"Security, Playground, Lift, Swimming Pool, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Genting Court Condominium,1995,1000,Kuala Lumpur - Setapak,Condominium,3,0,2,803,Partially Furnished,"Minimart, Parking, Security, Lift, Swimming Pool, Playground",Cooking Allowed,Kuala Lumpur
The Hipster @ Taman Desa,2022,2300,Kuala Lumpur - Taman Desa,Condominium,3,2,2,921,Fully Furnished,"Security, Squash Court, Minimart, Playground, Swimming Pool, Lift, Parking, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Astana Square,2017,1200,Kuala Lumpur - Kepong,Apartment,3,1,2,1000,Fully Furnished,"Parking, Security, Lift",Near KTM/LRT,Kuala Lumpur
Desa Putra (Wangsa Maju),2007,800,Kuala Lumpur - Wangsa Maju,Condominium,4,0,2,1246,Fully Furnished,"Security, Playground, Lift, Swimming Pool, Gymnasium, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
K Residence (KLCC),2007,4899,Kuala Lumpur - KLCC,Condominium,2,2,2,1485,Fully Furnished,"Gymnasium, Security, Playground, Parking, Swimming Pool, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Seri Riana Residence,2016,3600,Kuala Lumpur - Wangsa Maju,Condominium,4,2,2,1528,Fully Furnished,"Swimming Pool, Tennis Court, Squash Court, Barbeque area, Playground, Jogging Track, Sauna, Club house, Parking, Gymnasium, Security",None,Kuala Lumpur
Plaza Damas,2017,1500,Kuala Lumpur - Sri Hartamas,Service Residence,1,0,1,590,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Winner Heights,2017,1100,Kuala Lumpur - Desa Petaling,Condominium,3,1,2,800,Not Furnished,"Parking, Playground, Swimming Pool, Barbeque area, Security, Minimart, Tennis Court, Gymnasium",Cooking Allowed,Kuala Lumpur
M City,2016,4500,Kuala Lumpur - KL City,Service Residence,3,2,4,1653,Fully Furnished,"Jogging Track, Lift, Minimart, Gymnasium, Playground, Squash Court, Barbeque area, Sauna, Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
M City,2016,2500,Kuala Lumpur - KL City,Service Residence,2,1,2,977,Fully Furnished,"Security, Minimart, Playground, Swimming Pool, Parking, Jogging Track, Barbeque area, Gymnasium, Squash Court, Sauna, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
M City,2016,1500,Kuala Lumpur - KL City,Service Residence,1,1,1,506,Fully Furnished,"Minimart, Sauna, Security, Playground, Swimming Pool, Squash Court, Jogging Track, Parking, Lift, Barbeque area, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Danau Idaman,2000,1300,Kuala Lumpur - Taman Desa,Condominium,3,0,2,938,Partially Furnished,"Parking, Playground, Squash Court, Swimming Pool, Tennis Court, Sauna, Security, Minimart, Gymnasium",None,Kuala Lumpur
Taman Pusat Kepong Shop Apartment,2017,800,Kuala Lumpur - Kepong,Apartment,3,0,2,935,Not Furnished,"Parking, Minimart",Near KTM/LRT,Kuala Lumpur
Menara Polo,2017,1100,Kuala Lumpur - Desa Pandan,Condominium,1,0,1,650,Fully Furnished,"Security, Sauna, Parking, Gymnasium, Squash Court, Barbeque area, Playground, Swimming Pool, Tennis Court",None,Kuala Lumpur
Seri Puteri Condominium,2017,1700,Kuala Lumpur - Cheras,Condominium,3,1,2,1090,Not Furnished,"Gymnasium, Security, Playground, Parking, Swimming Pool, Minimart","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
UNA Serviced Apartment @ Peel,2020,3000,Kuala Lumpur - Cheras,Service Residence,3,2,3,1356,Not Furnished,"Gymnasium, Parking, Swimming Pool, Playground, Security, Lift, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Pavillion Embassy Service Suite,2017,3600,Kuala Lumpur - Ampang Hilir,Service Residence,2,1,2,775,Fully Furnished,None,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Taman Setiawangsa,2006,1600,Kuala Lumpur - Setiawangsa,Condominium,3,1,2,1267,Fully Furnished,"Security, Minimart, Parking",None,Kuala Lumpur
Seri Maya,2008,2500,Kuala Lumpur - Setiawangsa,Condominium,3,0,2,1300,Partially Furnished,"Swimming Pool, Parking, Security, Playground, Gymnasium","Air-Cond, Near KTM/LRT",Kuala Lumpur
Teratai Mewah Apartment,2017,750,Kuala Lumpur - Setapak,Apartment,3,0,1,700,Not Furnished,"Security, Playground, Parking, Lift",Cooking Allowed,Kuala Lumpur
Heritage Condominiun,2017,1250,Kuala Lumpur - Setapak,Condominium,3,1,2,1300,Partially Furnished,"Security, Minimart, Gymnasium, Barbeque area, Parking, Lift, Club house, Playground, Swimming Pool, Tennis Court, Squash Court, Sauna",None,Kuala Lumpur
Zen Suites @ Zetapark,2017,1200,Kuala Lumpur - Setapak,Service Residence,1,1,1,618,Partially Furnished,"Gymnasium, Playground, Jogging Track, Parking, Swimming Pool, Sauna",None,Kuala Lumpur
Residensi Wangsamas,2017,1850,Kuala Lumpur - Wangsa Maju,Apartment,3,1,2,800,Fully Furnished,"Multipurpose hall, Parking, Security, Playground, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
